_id,reportedPercent,truePercent,visType
60535457c4e37914bcf86a0b,45,0.383118685,Type3
6053545dc4e37914bcf86a0c,55,0.681292069,Type4
60535463c4e37914bcf86a0d,67,0.681292069,Type4
60535467c4e37914bcf86a0e,33,0.383118685,Type5
6053546dc4e37914bcf86a0f,70,0.681292069,Type1
60535472c4e37914bcf86a10,60,0.681292069,Type5
60535478c4e37914bcf86a11,60,0.681292069,Type5
6053547fc4e37914bcf86a12,65,0.681292069,Type1
60535482c4e37914bcf86a13,66,0.681292069,Type1
60535489c4e37914bcf86a14,65,0.681292069,Type3
60535491c4e37914bcf86a15,60,0.681292069,Type4
60535498c4e37914bcf86a16,70,0.681292069,Type2
6053549ec4e37914bcf86a17,70,0.681292069,Type2
605354a4c4e37914bcf86a18,18,0.215443469,Type5
605354aac4e37914bcf86a19,60,0.681292069,Type4
605354b0c4e37914bcf86a1a,45,0.383118685,Type1
605354bec4e37914bcf86a1b,43,0.383118685,Type2
605354c4c4e37914bcf86a1c,36,0.261015722,Type3
605354ccc4e37914bcf86a1d,80,0.681292069,Type5
605354d1c4e37914bcf86a1e,25,0.261015722,Type4
605354d8c4e37914bcf86a1f,30,0.261015722,Type5
605354dcc4e37914bcf86a20,90,0.681292069,Type5
605354e2c4e37914bcf86a21,35,0.261015722,Type4
605354e8c4e37914bcf86a22,36,0.261015722,Type2
605354f0c4e37914bcf86a23,35,0.261015722,Type1
605354f6c4e37914bcf86a24,45,0.383118685,Type4
605354fcc4e37914bcf86a25,66,0.681292069,Type2
60535505c4e37914bcf86a26,58,0.681292069,Type5
6053550dc4e37914bcf86a27,70,0.681292069,Type1
60535516c4e37914bcf86a28,65,0.681292069,Type3
6053551fc4e37914bcf86a29,60,0.681292069,Type4
60535524c4e37914bcf86a2a,25,0.215443469,Type4
60535528c4e37914bcf86a2b,35,0.261015722,Type2
6053554cc4e37914bcf86a2c,63,0.681292069,Type2
60535555c4e37914bcf86a2d,64,0.562341325,Type1
6053555dc4e37914bcf86a2e,27,0.215443469,Type1
60535561c4e37914bcf86a2f,33,0.215443469,Type2
60535565c4e37914bcf86a30,65,0.562341325,Type2
60535568c4e37914bcf86a31,35,0.261015722,Type5
60535573c4e37914bcf86a32,31,0.261015722,Type1
6053557bc4e37914bcf86a33,70,0.681292069,Type3
60535583c4e37914bcf86a34,75,0.681292069,Type1
60535596c4e37914bcf86a35,70,0.681292069,Type2
6053559dc4e37914bcf86a36,48,0.562341325,Type4
605355a3c4e37914bcf86a37,38,0.261015722,Type3
605355a7c4e37914bcf86a38,26,0.215443469,Type3
605355b6c4e37914bcf86a39,75,0.681292069,Type3
605355bcc4e37914bcf86a3a,76,0.562341325,Type5
605355c6c4e37914bcf86a3b,62,0.681292069,Type3
605355d0c4e37914bcf86a3c,57,0.562341325,Type3
605355d8c4e37914bcf86a3d,16,0.135358284,Type6
605355ddc4e37914bcf86a3e,35,0.237079847,Type7
605355e5c4e37914bcf86a3f,34,0.207012055,Type7
605355eec4e37914bcf86a40,20,0.135358284,Type7
605355f4c4e37914bcf86a41,60,0.621552738,Type6
605355fac4e37914bcf86a42,24,0.133586193,Type7
