,trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror.1,logerror(+1/8),logerror
3,4,user1615999430224,barAnim,52,55.0,3.0,3.125,1.64385619,1.64385619
8,9,user1615999430224,barAnim,78,70.0,8.0,8.125,3.022367813,3.022367813
12,13,user1615999430224,barAnim,83,80.0,3.0,3.125,1.64385619,1.64385619
23,24,user1615999430224,barAnim,63,65.0,2.0,2.125,1.087462841,1.087462841
28,5,user1616015249741,barAnim,50,45.0,5.0,5.125,2.357552005,2.357552005
30,7,user1616015249741,barAnim,58,60.0,2.0,2.125,1.087462841,1.087462841
37,14,user1616015249741,barAnim,67,70.0,3.0,3.125,1.64385619,1.64385619
41,18,user1616015249741,barAnim,61,60.0,1.0,1.125,0.1699250014,0.1699250014
53,6,user1616018584636,barAnim,46,40.0,6.0,6.125,2.614709844,2.614709844
58,11,user1616018584636,barAnim,67,66.0,1.0,1.125,0.1699250014,0.1699250014
69,22,user1616018584636,barAnim,82,80.0,2.0,2.125,1.087462841,1.087462841
70,23,user1616018584636,barAnim,100,0.0,100.0,100.125,6.645658432,6.645658432
74,3,user1616018681392,barAnim,84,92.0,8.0,8.125,3.022367813,3.022367813
81,10,user1616018681392,barAnim,54,58.0,4.0,4.125,2.044394119,2.044394119
88,17,user1616018681392,barAnim,75,80.0,5.0,5.125,2.357552005,2.357552005
92,21,user1616018681392,barAnim,7,6.0,1.0,1.125,0.1699250014,0.1699250014
96,1,user1616020953317,barAnim,6,10.0,4.0,4.125,2.044394119,2.044394119
102,7,user1616020953317,barAnim,16,15.0,1.0,1.125,0.1699250014,0.1699250014
105,10,user1616020953317,barAnim,25,30.0,5.0,5.125,2.357552005,2.357552005
109,14,user1616020953317,barAnim,11,12.0,1.0,1.125,0.1699250014,0.1699250014
125,6,user1616071404126,barAnim,52,60.0,8.0,8.125,3.022367813,3.022367813
127,8,user1616071404126,barAnim,51,50.0,1.0,1.125,0.1699250014,0.1699250014
130,11,user1616071404126,barAnim,41,40.0,1.0,1.125,0.1699250014,0.1699250014
140,21,user1616071404126,barAnim,22,20.0,2.0,2.125,1.087462841,1.087462841
144,1,user1616072990681,barAnim,12,9.0,3.0,3.125,1.64385619,1.64385619
154,11,user1616072990681,barAnim,42,35.0,7.0,7.125,2.832890014,2.832890014
158,15,user1616072990681,barAnim,62,60.0,2.0,2.125,1.087462841,1.087462841
165,22,user1616072990681,barAnim,90,95.0,5.0,5.125,2.357552005,2.357552005
177,10,user1616074209786,barAnim,26,20.0,6.0,6.125,2.614709844,2.614709844
186,19,user1616074209786,barAnim,67,68.0,1.0,1.125,0.1699250014,0.1699250014
187,20,user1616074209786,barAnim,38,35.0,3.0,3.125,1.64385619,1.64385619
190,23,user1616074209786,barAnim,87,95.0,8.0,8.125,3.022367813,3.022367813
195,4,user1616076694613,barAnim,37,40.0,3.0,3.125,1.64385619,1.64385619
203,12,user1616076694613,barAnim,22,15.0,7.0,7.125,2.832890014,2.832890014
211,20,user1616076694613,barAnim,47,50.0,3.0,3.125,1.64385619,1.64385619
213,22,user1616076694613,barAnim,85,80.0,5.0,5.125,2.357552005,2.357552005
224,9,user1616080404053,barAnim,18,80.0,62.0,62.125,5.957102042,5.957102042
229,14,user1616080404053,barAnim,22,60.0,38.0,38.125,5.252665432,5.252665432
230,15,user1616080404053,barAnim,18,100.0,82.0,82.125,6.35974956,6.35974956
232,17,user1616080404053,barAnim,96,3.0,93.0,93.125,6.541096615,6.541096615
253,14,user1616085312200,barAnim,62,60.0,2.0,2.125,1.087462841,1.087462841
255,16,user1616085312200,barAnim,70,70.0,0.0,0.125,-3.0,0.0
256,17,user1616085312200,barAnim,78,80.0,2.0,2.125,1.087462841,1.087462841
257,18,user1616085312200,barAnim,90,90.0,0.0,0.125,-3.0,0.0
264,1,user1616086256978,barAnim,61,67.0,6.0,6.125,2.614709844,2.614709844
278,15,user1616086256978,barAnim,16,20.0,4.0,4.125,2.044394119,2.044394119
284,21,user1616086256978,barAnim,43,40.0,3.0,3.125,1.64385619,1.64385619
287,24,user1616086256978,barAnim,22,22.0,0.0,0.125,-3.0,0.0
291,4,user1616090223946,barAnim,13,10.0,3.0,3.125,1.64385619,1.64385619
299,12,user1616090223946,barAnim,75,75.0,0.0,0.125,-3.0,0.0
301,14,user1616090223946,barAnim,58,66.0,8.0,8.125,3.022367813,3.022367813
304,17,user1616090223946,barAnim,48,50.0,2.0,2.125,1.087462841,1.087462841
312,1,user1616090648175,barAnim,64,65.0,1.0,1.125,0.1699250014,0.1699250014
316,5,user1616090648175,barAnim,30,25.0,5.0,5.125,2.357552005,2.357552005
