trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror,logerror(+1/8),logerror
1,user1615999430224,line,67,75,8,8.125,3.022367813,3.022367813
2,user1615999430224,pie,76,60,16,16.125,4.011227255,4.011227255
3,user1615999430224,pieAnim,89,95,6,6.125,2.614709844,2.614709844
4,user1615999430224,barAnim,52,55,3,3.125,1.64385619,1.64385619
5,user1615999430224,lineAnim,33,35,2,2.125,1.087462841,1.087462841
6,user1615999430224,bar,57,60,3,3.125,1.64385619,1.64385619
7,user1615999430224,line,17,15,2,2.125,1.087462841,1.087462841
8,user1615999430224,line,75,60,15,15.125,3.918863237,3.918863237
9,user1615999430224,barAnim,78,70,8,8.125,3.022367813,3.022367813
10,user1615999430224,lineAnim,45,50,5,5.125,2.357552005,2.357552005
11,user1615999430224,lineAnim,36,45,9,9.125,3.189824559,3.189824559
12,user1615999430224,lineAnim,46,50,4,4.125,2.044394119,2.044394119
13,user1615999430224,barAnim,83,80,3,3.125,1.64385619,1.64385619
14,user1615999430224,line,34,35,1,1.125,0.1699250014,0.1699250014
15,user1615999430224,pie,78,70,8,8.125,3.022367813,3.022367813
16,user1615999430224,pieAnim,48,50,2,2.125,1.087462841,1.087462841
17,user1615999430224,bar,68,75,7,7.125,2.832890014,2.832890014
18,user1615999430224,pie,64,45,19,19.125,4.257387843,4.257387843
19,user1615999430224,bar,38,35,3,3.125,1.64385619,1.64385619
20,user1615999430224,pieAnim,16,30,14,14.125,3.820178962,3.820178962
21,user1615999430224,bar,80,88,8,8.125,3.022367813,3.022367813
22,user1615999430224,pie,13,16,3,3.125,1.64385619,1.64385619
23,user1615999430224,pieAnim,86,80,6,6.125,2.614709844,2.614709844
24,user1615999430224,barAnim,63,65,2,2.125,1.087462841,1.087462841
1,user1616015249741,bar,22,20,2,2.125,1.087462841,1.087462841
2,user1616015249741,pie,34,20,14,14.125,3.820178962,3.820178962
3,user1616015249741,bar,94,90,4,4.125,2.044394119,2.044394119
4,user1616015249741,line,52,55,3,3.125,1.64385619,1.64385619
5,user1616015249741,barAnim,50,45,5,5.125,2.357552005,2.357552005
6,user1616015249741,pieAnim,17,20,3,3.125,1.64385619,1.64385619
7,user1616015249741,barAnim,58,60,2,2.125,1.087462841,1.087462841
8,user1616015249741,lineAnim,32,30,2,2.125,1.087462841,1.087462841
9,user1616015249741,pie,76,70,6,6.125,2.614709844,2.614709844
10,user1616015249741,bar,86,90,4,4.125,2.044394119,2.044394119
11,user1616015249741,pieAnim,29,30,1,1.125,0.1699250014,0.1699250014
12,user1616015249741,pie,33,25,8,8.125,3.022367813,3.022367813
13,user1616015249741,line,21,10,11,11.125,3.475733431,3.475733431
14,user1616015249741,barAnim,67,70,3,3.125,1.64385619,1.64385619
15,user1616015249741,line,48,30,18,18.125,4.17990909,4.17990909
16,user1616015249741,lineAnim,58,60,2,2.125,1.087462841,1.087462841
17,user1616015249741,pieAnim,45,50,5,5.125,2.357552005,2.357552005
18,user1616015249741,barAnim,61,60,1,1.125,0.1699250014,0.1699250014
19,user1616015249741,pie,39,35,4,4.125,2.044394119,2.044394119
20,user1616015249741,pieAnim,64,55,9,9.125,3.189824559,3.189824559
21,user1616015249741,lineAnim,57,60,3,3.125,1.64385619,1.64385619
22,user1616015249741,line,8,8,0,0.125,-3,0
23,user1616015249741,lineAnim,18,18,0,0.125,-3,0
24,user1616015249741,bar,60,65,5,5.125,2.357552005,2.357552005
1,user1616018584636,pie,23,25,2,2.125,1.087462841,1.087462841
2,user1616018584636,bar,72,66,6,6.125,2.614709844,2.614709844
3,user1616018584636,bar,74,75,1,1.125,0.1699250014,0.1699250014
4,user1616018584636,pie,7,10,3,3.125,1.64385619,1.64385619
5,user1616018584636,line,73,75,2,2.125,1.087462841,1.087462841
6,user1616018584636,barAnim,46,40,6,6.125,2.614709844,2.614709844
7,user1616018584636,pieAnim,16,10,6,6.125,2.614709844,2.614709844
8,user1616018584636,line,73,66,7,7.125,2.832890014,2.832890014
9,user1616018584636,lineAnim,32,40,8,8.125,3.022367813,3.022367813
10,user1616018584636,pieAnim,40,33,7,7.125,2.832890014,2.832890014
11,user1616018584636,barAnim,67,66,1,1.125,0.1699250014,0.1699250014
12,user1616018584636,lineAnim,44,40,4,4.125,2.044394119,2.044394119
13,user1616018584636,pie,85,33,52,52.125,5.703903573,5.703903573
14,user1616018584636,pieAnim,37,10,27,27.125,4.761551232,4.761551232
15,user1616018584636,lineAnim,14,10,4,4.125,2.044394119,2.044394119
