,trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror.1,logerror(+1/8),logerror
0,1,user1615999430224,line,67,75.0,8.0,8.125,3.022367813,3.022367813
6,7,user1615999430224,line,17,15.0,2.0,2.125,1.087462841,1.087462841
7,8,user1615999430224,line,75,60.0,15.0,15.125,3.918863237,3.918863237
13,14,user1615999430224,line,34,35.0,1.0,1.125,0.1699250014,0.1699250014
27,4,user1616015249741,line,52,55.0,3.0,3.125,1.64385619,1.64385619
36,13,user1616015249741,line,21,10.0,11.0,11.125,3.475733431,3.475733431
38,15,user1616015249741,line,48,30.0,18.0,18.125,4.17990909,4.17990909
45,22,user1616015249741,line,8,8.0,0.0,0.125,-3.0,0.0
52,5,user1616018584636,line,73,75.0,2.0,2.125,1.087462841,1.087462841
55,8,user1616018584636,line,73,66.0,7.0,7.125,2.832890014,2.832890014
63,16,user1616018584636,line,23,15.0,8.0,8.125,3.022367813,3.022367813
66,19,user1616018584636,line,68,75.0,7.0,7.125,2.832890014,2.832890014
76,5,user1616018681392,line,15,11.0,4.0,4.125,2.044394119,2.044394119
87,16,user1616018681392,line,49,50.0,1.0,1.125,0.1699250014,0.1699250014
89,18,user1616018681392,line,47,50.0,3.0,3.125,1.64385619,1.64385619
91,20,user1616018681392,line,73,70.0,3.0,3.125,1.64385619,1.64385619
98,3,user1616020953317,line,24,20.0,4.0,4.125,2.044394119,2.044394119
107,12,user1616020953317,line,94,95.0,1.0,1.125,0.1699250014,0.1699250014
111,16,user1616020953317,line,90,85.0,5.0,5.125,2.357552005,2.357552005
115,20,user1616020953317,line,40,45.0,5.0,5.125,2.357552005,2.357552005
124,5,user1616071404126,line,60,60.0,0.0,0.125,-3.0,0.0
129,10,user1616071404126,line,88,85.0,3.0,3.125,1.64385619,1.64385619
132,13,user1616071404126,line,36,38.0,2.0,2.125,1.087462841,1.087462841
135,16,user1616071404126,line,62,70.0,8.0,8.125,3.022367813,3.022367813
146,3,user1616072990681,line,72,84.0,12.0,12.125,3.599912842,3.599912842
159,16,user1616072990681,line,25,20.0,5.0,5.125,2.357552005,2.357552005
163,20,user1616072990681,line,70,80.0,10.0,10.125,3.339850003,3.339850003
167,24,user1616072990681,line,60,60.0,0.0,0.125,-3.0,0.0
172,5,user1616074209786,line,40,40.0,0.0,0.125,-3.0,0.0
175,8,user1616074209786,line,11,10.0,1.0,1.125,0.1699250014,0.1699250014
180,13,user1616074209786,line,27,20.0,7.0,7.125,2.832890014,2.832890014
185,18,user1616074209786,line,77,88.0,11.0,11.125,3.475733431,3.475733431
