,trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror.1,logerror(+1/8),logerror
4,5,user1615999430224,lineAnim,33,35.0,2.0,2.125,1.087462841,1.087462841
9,10,user1615999430224,lineAnim,45,50.0,5.0,5.125,2.357552005,2.357552005
10,11,user1615999430224,lineAnim,36,45.0,9.0,9.125,3.189824559,3.189824559
11,12,user1615999430224,lineAnim,46,50.0,4.0,4.125,2.044394119,2.044394119
31,8,user1616015249741,lineAnim,32,30.0,2.0,2.125,1.087462841,1.087462841
39,16,user1616015249741,lineAnim,58,60.0,2.0,2.125,1.087462841,1.087462841
44,21,user1616015249741,lineAnim,57,60.0,3.0,3.125,1.64385619,1.64385619
46,23,user1616015249741,lineAnim,18,18.0,0.0,0.125,-3.0,0.0
56,9,user1616018584636,lineAnim,32,40.0,8.0,8.125,3.022367813,3.022367813
59,12,user1616018584636,lineAnim,44,40.0,4.0,4.125,2.044394119,2.044394119
62,15,user1616018584636,lineAnim,14,10.0,4.0,4.125,2.044394119,2.044394119
65,18,user1616018584636,lineAnim,98,99.0,1.0,1.125,0.1699250014,0.1699250014
75,4,user1616018681392,lineAnim,78,92.0,14.0,14.125,3.820178962,3.820178962
77,6,user1616018681392,lineAnim,61,60.0,1.0,1.125,0.1699250014,0.1699250014
82,11,user1616018681392,lineAnim,76,84.0,8.0,8.125,3.022367813,3.022367813
90,19,user1616018681392,lineAnim,11,90.0,79.0,79.125,6.306061689,6.306061689
99,4,user1616020953317,lineAnim,58,50.0,8.0,8.125,3.022367813,3.022367813
104,9,user1616020953317,lineAnim,76,75.0,1.0,1.125,0.1699250014,0.1699250014
112,17,user1616020953317,lineAnim,60,65.0,5.0,5.125,2.357552005,2.357552005
117,22,user1616020953317,lineAnim,52,50.0,2.0,2.125,1.087462841,1.087462841
122,3,user1616071404126,lineAnim,12,15.0,3.0,3.125,1.64385619,1.64385619
137,18,user1616071404126,lineAnim,27,28.0,1.0,1.125,0.1699250014,0.1699250014
141,22,user1616071404126,lineAnim,90,90.0,0.0,0.125,-3.0,0.0
142,23,user1616071404126,lineAnim,84,85.0,1.0,1.125,0.1699250014,0.1699250014
151,8,user1616072990681,lineAnim,52,52.0,0.0,0.125,-3.0,0.0
152,9,user1616072990681,lineAnim,68,82.0,14.0,14.125,3.820178962,3.820178962
156,13,user1616072990681,lineAnim,22,20.0,2.0,2.125,1.087462841,1.087462841
164,21,user1616072990681,lineAnim,70,90.0,20.0,20.125,4.330916878,4.330916878
179,12,user1616074209786,lineAnim,20,20.0,0.0,0.125,-3.0,0.0
182,15,user1616074209786,lineAnim,98,98.0,0.0,0.125,-3.0,0.0
184,17,user1616074209786,lineAnim,83,90.0,7.0,7.125,2.832890014,2.832890014
188,21,user1616074209786,lineAnim,68,68.0,0.0,0.125,-3.0,0.0
200,9,user1616076694613,lineAnim,19,10.0,9.0,9.125,3.189824559,3.189824559
201,10,user1616076694613,lineAnim,29,30.0,1.0,1.125,0.1699250014,0.1699250014
202,11,user1616076694613,lineAnim,5,5.0,0.0,0.125,-3.0,0.0
212,21,user1616076694613,lineAnim,50,50.0,0.0,0.125,-3.0,0.0
216,1,user1616080404053,lineAnim,81,15.0,66.0,66.125,6.047123912,6.047123912
220,5,user1616080404053,lineAnim,93,4.0,89.0,89.125,6.477758266,6.477758266
227,12,user1616080404053,lineAnim,85,5.0,80.0,80.125,6.324180547,6.324180547
231,16,user1616080404053,lineAnim,48,50.0,2.0,2.125,1.087462841,1.087462841
241,2,user1616085312200,lineAnim,20,12.0,8.0,8.125,3.022367813,3.022367813
243,4,user1616085312200,lineAnim,41,40.0,1.0,1.125,0.1699250014,0.1699250014
251,12,user1616085312200,lineAnim,24,25.0,1.0,1.125,0.1699250014,0.1699250014
259,20,user1616085312200,lineAnim,93,98.0,5.0,5.125,2.357552005,2.357552005
271,8,user1616086256978,lineAnim,56,65.0,9.0,9.125,3.189824559,3.189824559
281,18,user1616086256978,lineAnim,39,40.0,1.0,1.125,0.1699250014,0.1699250014
283,20,user1616086256978,lineAnim,82,81.0,1.0,1.125,0.1699250014,0.1699250014
