,trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror.1,logerror(+1/8),logerror
1,2,user1615999430224,pie,76,60.0,16.0,16.125,4.011227255,4.011227255
14,15,user1615999430224,pie,78,70.0,8.0,8.125,3.022367813,3.022367813
17,18,user1615999430224,pie,64,45.0,19.0,19.125,4.257387843,4.257387843
21,22,user1615999430224,pie,13,16.0,3.0,3.125,1.64385619,1.64385619
25,2,user1616015249741,pie,34,20.0,14.0,14.125,3.820178962,3.820178962
32,9,user1616015249741,pie,76,70.0,6.0,6.125,2.614709844,2.614709844
35,12,user1616015249741,pie,33,25.0,8.0,8.125,3.022367813,3.022367813
42,19,user1616015249741,pie,39,35.0,4.0,4.125,2.044394119,2.044394119
48,1,user1616018584636,pie,23,25.0,2.0,2.125,1.087462841,1.087462841
51,4,user1616018584636,pie,7,10.0,3.0,3.125,1.64385619,1.64385619
60,13,user1616018584636,pie,85,33.0,52.0,52.125,5.703903573,5.703903573
64,17,user1616018584636,pie,80,5.0,75.0,75.125,6.231221181,6.231221181
83,12,user1616018681392,pie,86,90.0,4.0,4.125,2.044394119,2.044394119
85,14,user1616018681392,pie,16,12.0,4.0,4.125,2.044394119,2.044394119
86,15,user1616018681392,pie,79,90.0,11.0,11.125,3.475733431,3.475733431
95,24,user1616018681392,pie,42,44.0,2.0,2.125,1.087462841,1.087462841
97,2,user1616020953317,pie,69,80.0,11.0,11.125,3.475733431,3.475733431
106,11,user1616020953317,pie,34,33.0,1.0,1.125,0.1699250014,0.1699250014
113,18,user1616020953317,pie,80,90.0,10.0,10.125,3.339850003,3.339850003
116,21,user1616020953317,pie,14,12.0,2.0,2.125,1.087462841,1.087462841
123,4,user1616071404126,pie,21,30.0,9.0,9.125,3.189824559,3.189824559
131,12,user1616071404126,pie,19,25.0,6.0,6.125,2.614709844,2.614709844
136,17,user1616071404126,pie,92,100.0,8.0,8.125,3.022367813,3.022367813
139,20,user1616071404126,pie,67,75.0,8.0,8.125,3.022367813,3.022367813
150,7,user1616072990681,pie,85,90.0,5.0,5.125,2.357552005,2.357552005
153,10,user1616072990681,pie,60,44.0,16.0,16.125,4.011227255,4.011227255
155,12,user1616072990681,pie,41,33.0,8.0,8.125,3.022367813,3.022367813
162,19,user1616072990681,pie,78,85.0,7.0,7.125,2.832890014,2.832890014
170,3,user1616074209786,pie,55,45.0,10.0,10.125,3.339850003,3.339850003
173,6,user1616074209786,pie,32,20.0,12.0,12.125,3.599912842,3.599912842
189,22,user1616074209786,pie,44,40.0,4.0,4.125,2.044394119,2.044394119
191,24,user1616074209786,pie,32,20.0,12.0,12.125,3.599912842,3.599912842
192,1,user1616076694613,pie,62,75.0,13.0,13.125,3.714245518,3.714245518
193,2,user1616076694613,pie,37,30.0,7.0,7.125,2.832890014,2.832890014
198,7,user1616076694613,pie,36,25.0,11.0,11.125,3.475733431,3.475733431
214,23,user1616076694613,pie,75,25.0,50.0,50.125,5.647458426,5.647458426
219,4,user1616080404053,pie,77,15.0,62.0,62.125,5.957102042,5.957102042
223,8,user1616080404053,pie,54,40.0,14.0,14.125,3.820178962,3.820178962
