,trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror.1,logerror(+1/8),logerror
2,3,user1615999430224,pieAnim,89,95.0,6.0,6.125,2.614709844,2.614709844
15,16,user1615999430224,pieAnim,48,50.0,2.0,2.125,1.087462841,1.087462841
19,20,user1615999430224,pieAnim,16,30.0,14.0,14.125,3.820178962,3.820178962
22,23,user1615999430224,pieAnim,86,80.0,6.0,6.125,2.614709844,2.614709844
29,6,user1616015249741,pieAnim,17,20.0,3.0,3.125,1.64385619,1.64385619
34,11,user1616015249741,pieAnim,29,30.0,1.0,1.125,0.1699250014,0.1699250014
40,17,user1616015249741,pieAnim,45,50.0,5.0,5.125,2.357552005,2.357552005
43,20,user1616015249741,pieAnim,64,55.0,9.0,9.125,3.189824559,3.189824559
54,7,user1616018584636,pieAnim,16,10.0,6.0,6.125,2.614709844,2.614709844
57,10,user1616018584636,pieAnim,40,33.0,7.0,7.125,2.832890014,2.832890014
61,14,user1616018584636,pieAnim,37,10.0,27.0,27.125,4.761551232,4.761551232
67,20,user1616018584636,pieAnim,91,99.0,8.0,8.125,3.022367813,3.022367813
72,1,user1616018681392,pieAnim,76,70.0,6.0,6.125,2.614709844,2.614709844
73,2,user1616018681392,pieAnim,26,30.0,4.0,4.125,2.044394119,2.044394119
79,8,user1616018681392,pieAnim,12,12.0,0.0,0.125,-3.0,0.0
80,9,user1616018681392,pieAnim,60,50.0,10.0,10.125,3.339850003,3.339850003
103,8,user1616020953317,pieAnim,69,40.0,29.0,29.125,4.864186145,4.864186145
110,15,user1616020953317,pieAnim,91,80.0,11.0,11.125,3.475733431,3.475733431
118,23,user1616020953317,pieAnim,48,50.0,2.0,2.125,1.087462841,1.087462841
119,24,user1616020953317,pieAnim,27,25.0,2.0,2.125,1.087462841,1.087462841
120,1,user1616071404126,pieAnim,75,85.0,10.0,10.125,3.339850003,3.339850003
121,2,user1616071404126,pieAnim,61,50.0,11.0,11.125,3.475733431,3.475733431
