username,chart,actualresponse,userresponse
user1615999430224,line,67,75
user1615999430224,pie,76,60
user1615999430224,pieAnim,89,95
user1615999430224,barAnim,52,55
user1615999430224,lineAnim,33,35
user1615999430224,bar,57,60
user1615999430224,line,17,15
user1615999430224,line,75,60
user1615999430224,barAnim,78,70
user1615999430224,lineAnim,45,50
user1615999430224,lineAnim,36,45
user1615999430224,lineAnim,46,50
user1615999430224,barAnim,83,80
user1615999430224,line,34,35
user1615999430224,pie,78,70
user1615999430224,pieAnim,48,50
user1615999430224,bar,68,75
user1615999430224,pie,64,45
user1615999430224,bar,38,35
user1615999430224,pieAnim,16,30
user1615999430224,bar,80,88
user1615999430224,pie,13,16
user1615999430224,pieAnim,86,80
user1615999430224,barAnim,63,65
user1616015249741,bar,22,20
user1616015249741,pie,34,20
user1616015249741,bar,94,90
user1616015249741,line,52,55
user1616015249741,barAnim,50,45
user1616015249741,pieAnim,17,20
user1616015249741,barAnim,58,60
user1616015249741,lineAnim,32,30
user1616015249741,pie,76,70
user1616015249741,bar,86,90
user1616015249741,pieAnim,29,30
user1616015249741,pie,33,25
user1616015249741,line,21,10
user1616015249741,barAnim,67,70
user1616015249741,line,48,30
user1616015249741,lineAnim,58,60
user1616015249741,pieAnim,45,50
user1616015249741,barAnim,61,60
user1616015249741,pie,39,35
user1616015249741,pieAnim,64,55
user1616015249741,lineAnim,57,60
user1616015249741,line,8,8
user1616015249741,lineAnim,18,18
user1616015249741,bar,60,65
user1616018584636,pie,23,25
user1616018584636,bar,72,66
user1616018584636,bar,74,75
user1616018584636,pie,7,10
user1616018584636,line,73,75
user1616018584636,barAnim,46,40
user1616018584636,pieAnim,16,10
user1616018584636,line,73,66
user1616018584636,lineAnim,32,40
user1616018584636,pieAnim,40,33
user1616018584636,barAnim,67,66
user1616018584636,lineAnim,44,40
user1616018584636,pie,85,33
user1616018584636,pieAnim,37,10
user1616018584636,lineAnim,14,10
user1616018584636,line,23,15
user1616018584636,pie,80,5
user1616018584636,lineAnim,98,99
user1616018584636,line,68,75
user1616018584636,pieAnim,91,99
user1616018584636,bar,80,85
user1616018584636,barAnim,82,80
user1616018584636,barAnim,100,0
user1616018584636,bar,93,95
user1616018681392,pieAnim,76,70
user1616018681392,pieAnim,26,30
user1616018681392,barAnim,84,92
user1616018681392,lineAnim,78,92
user1616018681392,line,15,11
user1616018681392,lineAnim,61,60
user1616018681392,bar,63,68
user1616018681392,pieAnim,12,12
user1616018681392,pieAnim,60,50
user1616018681392,barAnim,54,58
user1616018681392,lineAnim,76,84
user1616018681392,pie,86,90
user1616018681392,bar,89,94
user1616018681392,pie,16,12
user1616018681392,pie,79,90
user1616018681392,line,49,50
user1616018681392,barAnim,75,80
user1616018681392,line,47,50
user1616018681392,lineAnim,11,90
user1616018681392,line,73,70
user1616018681392,barAnim,7,6
user1616018681392,bar,10,6
user1616018681392,bar,98,98
user1616018681392,pie,42,44
user1616020953317,barAnim,6,10
user1616020953317,pie,69,80
user1616020953317,line,24,20
user1616020953317,lineAnim,58,50
user1616020953317,bar,63,75
user1616020953317,bar,14,15
user1616020953317,barAnim,16,15
user1616020953317,pieAnim,69,40
user1616020953317,lineAnim,76,75
user1616020953317,barAnim,25,30
user1616020953317,pie,34,33
user1616020953317,line,94,95
user1616020953317,bar,37,33
user1616020953317,barAnim,11,12
user1616020953317,pieAnim,91,80
user1616020953317,line,90,85
user1616020953317,lineAnim,60,65
user1616020953317,pie,80,90
user1616020953317,bar,11,12
user1616020953317,line,40,45
user1616020953317,pie,14,12
user1616020953317,lineAnim,52,50
user1616020953317,pieAnim,48,50
user1616020953317,pieAnim,27,25
user1616071404126,pieAnim,75,85
user1616071404126,pieAnim,61,50
user1616071404126,lineAnim,12,15
user1616071404126,pie,21,30
user1616071404126,line,60,60
user1616071404126,barAnim,52,60
user1616071404126,pieAnim,56,70
user1616071404126,barAnim,51,50
user1616071404126,bar,46,45
user1616071404126,line,88,85
user1616071404126,barAnim,41,40
user1616071404126,pie,19,25
user1616071404126,line,36,38
user1616071404126,bar,47,45
user1616071404126,pieAnim,33,38
user1616071404126,line,62,70
user1616071404126,pie,92,100
user1616071404126,lineAnim,27,28
user1616071404126,bar,36,40
user1616071404126,pie,67,75
user1616071404126,barAnim,22,20
user1616071404126,lineAnim,90,90
user1616071404126,lineAnim,84,85
user1616071404126,bar,60,65
user1616072990681,barAnim,12,9
user1616072990681,pieAnim,17,9
user1616072990681,line,72,84
user1616072990681,pieAnim,58,48
user1616072990681,pieAnim,52,42
user1616072990681,bar,19,19
user1616072990681,pie,85,90
user1616072990681,lineAnim,52,52
user1616072990681,lineAnim,68,82
user1616072990681,pie,60,44
user1616072990681,barAnim,42,35
user1616072990681,pie,41,33
user1616072990681,lineAnim,22,20
user1616072990681,bar,98,98
user1616072990681,barAnim,62,60
user1616072990681,line,25,20
user1616072990681,pieAnim,29,19
user1616072990681,bar,53,60
user1616072990681,pie,78,85
user1616072990681,line,70,80
user1616072990681,lineAnim,70,90
user1616072990681,barAnim,90,95
user1616072990681,bar,59,54
user1616072990681,line,60,60
user1616074209786,bar,56,50
user1616074209786,bar,54,50
user1616074209786,pie,55,45
user1616074209786,bar,9,10
user1616074209786,line,40,40
user1616074209786,pie,32,20
user1616074209786,pieAnim,89,90
user1616074209786,line,11,10
user1616074209786,bar,76,85
user1616074209786,barAnim,26,20
user1616074209786,pieAnim,37,20
user1616074209786,lineAnim,20,20
user1616074209786,line,27,20
user1616074209786,pieAnim,83,90
user1616074209786,lineAnim,98,98
user1616074209786,pieAnim,29,20
user1616074209786,lineAnim,83,90
user1616074209786,line,77,88
user1616074209786,barAnim,67,68
user1616074209786,barAnim,38,35
user1616074209786,lineAnim,68,68
user1616074209786,pie,44,40
user1616074209786,barAnim,87,95
user1616074209786,pie,32,20
user1616076694613,pie,62,75
user1616076694613,pie,37,30
